hochdeutsch,bischemerisch
Bartholomäi,Bardlme
Bartsprossen,Stupfeln
Base,Boas
Bast,Boast
basteln,bösseln
bastelt,bösselt
Bastian,Pasl
Bauch,Bauch
Bauchwinde,Förds
bauen,baue
Bauern,Baure
Bauernjungen,Baurebuwe
Baum,Baam
Baum,Bam
Baum,Boam
Baumbusch,Baambusch
baumelt,boambelt
baumelt er,boambelt'r
baumelt es,s
Baumrinde,Schbi
beabsichtigt er,r
Beckstein,Begschdemer
Beckstein,Begscht
Beckstein,Bekst
bedauern,daure
bedeutet,bedayt
bedeutet,bedäut
Beerdigung,Beerdichung
Beere,Beer
Beere,Bere
Beet,Beed
Beet,Beit
Befehl,Befel
befehlen,befele
befohlen,befoule
Befreiungsruf beim Fangspiel,khumpek
Begehren  der Kuh,Muude
beginnen,oofonge
begraben,begroawe
behaglich,behaachli
behalten,gepalde
behalten,palde
Behälter für Regenwasser,Kuffe
Behälter für Regenwasser,Wasrkuffe
bei,bei
bei dem,baim
beieinander,bei'nanner
beieinander,beinanner
Beifuß Würzbüschel,Beiwisch
Beigeschmack,Bögser
Beil,Bail
Bein,Baa
Bein,Baan
Bein,Bao
Bein,Bo
Bein,Boa
Bein,n
beinahe,andem
beinahe,antem
beinahe,beinoh
beinahe,beinooh
beinahe,schär
Beine,Baa
Beine,Boa
Beine,n
beisammen,beisoamme
beischlafen,beldse
Beispiel,Beispiel
Beizfleisch,Pasflaasch
beißen,baise
beißen,beisse
beißt,beissd
bejahen,gnauge
bejahen,gnauke
bekleckert,verlöppert
bekommen,gricht
bekommen,griege
bekommen,krieche
bekommen,kriecht
bekommen,kriiche
bekommen,kriicht
bekommst,kri'st
bekommst,krist
bekommst,rist
bekommt,cht
bekommt,i
bekommt,kri
bekommt,kriecht
bekommt,kriicht
bekreuzigen,bekreuziche
Belag,Beloach
Belagerung,Beloachring
Belagerungskunst,Beloachringskunst
belegt,belejcht
belehren,belehre
Belieben,Beliwe
Bellen des Hundes,gaudse
belohnen,belohne
bemerkt,märkt
bemessen,bemese
benannt,benennt
Bendel,Bennel
Benennung eines am,Aprilenarr
beobachten,beobachte
bequem,begwem
bequemen,bequeme
bequemer Liegestuh,Sorchestuhl
beraten,berode
Berater,Beroder
berauscht sein,dörmle
berch,Büchelbärch
bereits,bärreits
Berg,Berch
Berg,Berich
Berg,Bug
Berg,Buggel
Berg,Bärch
Berg,Bärich
Berg,g
Berg,l
Berg Verniedlichungsform,Berchle
Beruf,Beruf
berührt,gedatschd
berührt,rührd
beschaut er,begugt'r
bescheissen,beschaise
beschirmt,gschärmt
Beschiss,Beschis
beschissen,beschise
beschissen,bschisse
beschlossen,beschlosse
beschneiden,beschnaide
beschützt,gschützt
Besen,Bese
Besen,Bäse
Besen,Bääsche
Besen,Bääse
Besenbinder,Bääschebinner
Besenlitze,Bäselitze
besoffen,besofe
besoffen,besoffe
besonderer Platz,Plätzle
besonnen,besunne
besorgen,besor
besorgen,che
besorgen,i
besorgt,besorcht
besser,beser
bessere,bessri
besseres,s
Besserwisser,Gscheidli
best,ess
beste,besde
beste,best
Beste,Best
bestehen,bestehne
Besten,Besde
Bestien,Viecher
bestraft,bestroffd
beständig,bestenni
beständig,bestinni
Besuch,Bagaschi
Besuch,Besuuch
besuchen,besuuche
besucht,besücht
bete,bäät
beten,be
beten,de
beten,e
Beter,Bedr
betest,bedst
betet,bedt
betet,bet
betontes,hedier
betrachten,bedrachte
betrachten,betrachde
betrachtet,bedracht't
betrogen,beschise
betrogen,bschisse
betrunken,besofe
betrunken,besoffe
betrügen,bedryche
Bett,Bedd
Bett,Bet
Bett,Bettle
Bett,le
Bett,t
Bettchen,Bet
Bettchen,Bettle
Bettchen,le
Bettchen,t
Bettelbrot,Bäddelbrood
Bettelstimme,Bäddelstimm
Betten,Bedder
Bettlein,Bettle
Bettnässer,Bet
Bettnässer,seicher
Bettnässer,t
Beutel,Bäudel
bevor,bevor
bewegen,bewääche
bewegt,bewäächd
bewegt,rejchd
bewegt sich,rumoord
bewegt sich hastig,wäwwert
Bewegung,Bewäächung
Bewohner der Dörgei,Dörg
Bewohner der Dörgei,Dörk
bezahlen,bezoahle
bezahlen,bleche
bezahlen,zoahle
Bezeichnung für einen Herumstehenden,Stiggl
Bibernelle Würzbüschel,Biwernell
biegen,bi
biegen,bieche
biegen,che
biegen,e
biegsamer Weidenzweig,Wied
biegsamer Weidenzweig,Wit
Biegung,Biechung
Bienchen,Bienle
Biene,Bien
Bienen,Bienle
Bienen,Ime
Bier,Biir
Bild,Biild
Bild,Bilt
Bildchen,Bildli
Bilder,Bildli
billig,billich
Bimmelbahn,Bimmelbähnle
bin,binn
bin,san
binden,binde
binden,bine
binden,binne
Binder,Binner
bindet,t
Binse,Bindse
Birne,Bi
Birne,Biire
Birne,i
Birne,re
Birnenschnitze,Biereschnitz
bis,bis
bis,zu
bis es,bis's
Bischemer Bastlösereim,Huppelied
Bischemer Kröte,Kröid
Bischemer Kröte,Kröide
Bischemer Kröten,Kröide
Bischemer Kröten,Kröüt
Bischemer Sagengestalt,Schimmelisreider
Bischemer Spitzname,Astle
Bischemer Spitzname,Aule
Bischemer Spitzname,Bartl
Bischemer Spitzname,Bassele
Bischemer Spitzname,Bawert
Bischemer Spitzname,Döid
Bischemer Spitzname,Dölfer
Bischemer Spitzname,Dörg
Bischemer Spitzname,Dööner
Bischemer Spitzname,Fiene
Bischemer Spitzname,Fitzer
Bischemer Spitzname,Foons
Bischemer Spitzname,Fälde
Bischemer Spitzname,Gundel
Bischemer Spitzname,Hannjörch
Bischemer Spitzname,Hannle
Bischemer Spitzname,Hardle
Bischemer Spitzname,Huggel
Bischemer Spitzname,Ihde
Bischemer Spitzname,Itzich
Bischemer Spitzname,Juller
Bischemer Spitzname,Klouwe
Bischemer Spitzname,Knubberle
Bischemer Spitzname,Knäbber
Bischemer Spitzname,Koarle
Bischemer Spitzname,Kättel
Bischemer Spitzname,Kätterle
Bischemer Spitzname,Leele
Bischemer Spitzname,Leene
Bischemer Spitzname,Lej
Bischemer Spitzname,Lowwel
Bischemer Spitzname,Lui
Bischemer Spitzname,Luss
Bischemer Spitzname,Lättle
Bischemer Spitzname,Maalche
Bischemer Spitzname,Mennle
Bischemer Spitzname,Miele
Bischemer Spitzname,Märdle
Bischemer Spitzname,Naaz
Bischemer Spitzname,Naazi
Bischemer Spitzname,Ogger
Bischemer Spitzname,Phib
Bischemer Spitzname,Sanni
Bischemer Spitzname,Schorschle
Bischemer Spitzname,Simmele
Bischemer Spitzname,Ströhle
Bischemer Spitzname,Stöckle
Bischemer Spitzname,Säbb
Bischemer Spitzname,Säbber
Bischemer Spitzname,Ullus
Bischemer Spitzname,Zille
Bischemer Spitzname,Zinkemichel
Bischemer Spitzname,Ädderle
Bischemer Spitzname,Ütsch
Bischemer Spitzname für Seppel,Seber
Bischemer Stadtquartier,Bolagei
Bischemer Stadtquartier,Mongolei
Bischemer Stadtquartier,Walachei
Bischemer Stadtviertel Unterstadt,Dörgei
bischemer Wohnviertel Unterstadt,Dörgei
bischen,bißle
Bischofsheim,Bischeme
Bischofsheim,Bischi
Bischofsheim,Byscheme
Bischofsheim,Byschi
Bischofsheim,Büscheme
Bischofsheim,Büschi
Bischofsheimer,Bischemer
bischofsheimerisch,bisch
Bischofsheimerisch,bischemerisch
bischofsheimerisch,byschemerisch
bischofsheimerisch,e
bischofsheimerisch,merisch
bisschen,bisle
bist,san
bitten,bide
bitter,bider
bittere,bittri
bißchen,bisle
Blasbalg,Bloosboalch
blase,bloos
Blase,Bloose
blasen,blo
blasen,bloose
blasen,o
blasen,se
blass,blos
Blatt,Bladd
Blatt,Bloat
Blatter,Blodern
blau,blo
Blech,Bleech
Blech,Blä
Blech,Blächle
Blech,ch
Blech,ä
blechen,bleche
blecken,bleg
blecken,e
blecken,g
Blecker,Bleger
Blei hat er,Blei hott'r
bleib,blai
bleibe,blei
bleiben,blaiwe
bleiben,bleiwe
bleibst,blaist
bleibt,blait
bleibt,blei't
bleibt,bleit
Bleistifte,Blei
Blick,Bliick
blicken,gucke
blind,blind
blind,blinn
blinde,blini
blinken,blinke
blinkt,blinkd
blinkt,schillerd
blinzelt,blinzeld
Blitz,Blitz
Block,Block
bloß,bloos
bloß,blos
bloß,blouss
bloß,blouß
Blume,Blumm
Blumen,Blumme
Blumen,Blümmli
Blumengarten,Blummegarde
Blut,Bluud
bluten,bluude
Blutwurstart,Knäudele
blähen,blewe
Blähung,Blewing
bläst,blöst
bläst,blööst
bläst es,s
Blättchen,Bledle
Blättchen,Bläddle
Blätter,Bleder
Blätter,Bläder
Blättlein,Bläddle
blöd,blööd
blöde,blöödi
blühen,blye
blühen,blüüe
Blümchen,Blümli
Blümchen,Blümmli
Blümlein,Blymle
Blümlein,Blümle
Blüte,Bluut
Blüte,Blüüde
Blüten,Blüüde
Bobstadt,Bobschd
Bobstädter,Bobschdemer
Bock,Bouck
bockrackersteif,boukragrsdaif
Boden,-Grund
Boden,Boode
Boden,Boude
Bodenabsenkung,Daicht
Bodensenkung,Daicht
Bogen,Bouche
Bogen für Pfeil,Schießbouchemoache
Bohne,Bone
Bohnen,Bohne
Bohnenkraut,Bonekräudich
Bohnenständer,Bohnestenner
bohren,bohre
bohren,bore
Bohrer,Bööhrer
Bolleraugen,Polraache
bollern,bolere
Bollerwagen,Dsichwächele
Bollerwagen,Ziechwächele
Bonbon,Gudzele
Bonifatius,Bonifaz
Bonifatius,Bonifoads
Boot,Boot
Boot,Schelch
Boretsch,Pores
borgen,böriche
Botin,Böttin
Bouillon,Bulljoo
Bowle,Bool
Boxberg,Boxbärch
boxen,boxe
Brache,Broch
Brache,Brooche
Brachenleite,Broocheleide
Brachfeld,Broch
Brand,Brand
Brand,Bront
Braten,Broode
Braten,Broote
braten,bröde
Braten,Proate
braten,proate
bratet,bröt
bratet es,brot
Bratkarfoffeln,Brootkardoffel
brauchen,brauche
braucht ihr,braucht'r
braun,brau
braune,brauni
brav,braaf
brave,braavi
brechen,breche
brechen,bräche
Brehmen,Breeme
Brehmen,Preme
breit,braad
breit,braat
breit,brat
breit,breid
breit,broad
breit,prat
Breite,Breding
breite Fläche,Brading
breite Fläche,Breding
breiter,bräder
breiteste,brädst
breitet,braat't
brennen,bren
brennen,brenne
brennen,e
brennen,n
brennend schmerzen von Wunden,here
Brennholz,Brennhoulz
brennt,brennd
Brett,Bridd
Bretter,Brid
Bretter,Bridder
Bretter,d
Bretter,er
Bretze,Brätze
Bretzelchen,Brätzli
Bretzen,Bretzli
Bretzenteig,Brätzlisdaach
Brief,Breef
Briefe,Brif
Briefkuvert,Brifkuwert
Briefpapier,Brifbabier
Brille,Brüll
bring,i
bringen,brenge
bringen,bringe
bringst,brengst
bringt,brengt
Brocken,Brog
Brocken,Brogge
Brocken,e
Brocken,g
Brombeeren,Bromlder
Brombeeren,Brommelder
Brombeeren,Brumlder
Brosam,Broseme
Brosche,Brosch
Brot,Brood
Brotaufstrich,Gselz
Brotaufstrich,Madde
Brote,Brööder
Brotleib,Broodlaab
Brotleib,Brotlaab
Brotscheiben,Brööder
Bruder,Bruuder
brummen,brum
Brummen,Brumme
brummen,brumme
brummen,e
Brummen,Gebrumme
brummen,m
brummt,brummd
Brunnen,Brune
Brunnen,Brunne
Brunnen,Brünnle
Brunnenkresse,Krese
Brunnenschacht,Brunnestoa
Brunnenschacht,n
Brunnenstein,Brunnestoa
Brunnenstein,n
Brust,Bruust
brutal,bredol
brutal,pretol
Bruthenne,e
Bruthenne,Gluk
bruzelt,brotzelt
bruzelt es,s
brächte,brocht
Brösel,Brössele
Brötchen,Stölleli
Brötchen,Weck
Brücke,Bruck
Brücke,Brygge
Brücke,Brügge
Brücken,Brügge
Brühe,Bry
Brühe,Brü
Brühe,Brüü
Brühe,h
Brühe,ü
Brühe pumpen,Brüübumber
brühen,brye
brühen,brüüe
Brühpumpe,Brüübumbe
brüllen,brülle
Brüste,Brüst
brüten,brüde
Bub,Buu
Bube,Bu'
Bube,Buu
Buben,Bu
Buben,Buuwe
Buben,Buwe
Buben,u
Buben,we
Bubenglück,Buuwefraad
Buch,Buuch
Buchbeeren,Bychlder
